"Story","Title","Result","Date","Stability","Duration (s)"
"Get All Book List","Retrieve all books as a logged-in user","SUCCESS","2025-01-04T04:31:49.132924352Z[Etc/UTC]","0.0","0.27"
"Get All Book List","Retrieve books with an empty database","SUCCESS","2025-01-04T04:31:49.412684184Z[Etc/UTC]","0.0","0.26"
"Create Book API Tests","Successfully create a new book","SUCCESS","2025-01-04T04:31:49.935501011Z[Etc/UTC]","0.0","0.27"
"Create Book API Tests","Invalid ID format","SUCCESS","2025-01-04T04:31:50.868934943Z[Etc/UTC]","0.0","0.2"
"Create Book API Tests","Book Already Exists by name","SUCCESS","2025-01-04T04:31:51.072886352Z[Etc/UTC]","0.0","0.37"
"Update Book by ID","Update a book with a valid ID as an admin","SUCCESS","2025-01-04T04:31:51.451376166Z[Etc/UTC]","0.0","0.33"
"Update Book by ID","Update a book with a valid ID as a regular user","SUCCESS","2025-01-04T04:31:51.784033255Z[Etc/UTC]","0.0","0.3"
"Update Book by ID","Update a non-existent book by ID","SUCCESS","2025-01-04T04:31:52.086881233Z[Etc/UTC]","0.0","0.1"
"Update Book by ID","Update a book with missing mandatory fields as an admin","SUCCESS","2025-01-04T04:31:52.18922217Z[Etc/UTC]","0.0","0.29"
"Add Employee","Add a new employee without username and password","SUCCESS","2025-01-04T04:31:52.507201154Z[Etc/UTC]","0.0","29.91"
"Add Employee","Delete an added employee from the PIM page","SUCCESS","2025-01-04T04:32:22.576834051Z[Etc/UTC]","0.0","22.89"
"User Management in Admin Tab","Add a new user","SUCCESS","2025-01-04T04:32:45.595437241Z[Etc/UTC]","0.0","31.07"
"User Management in Admin Tab","Delete a user","SUCCESS","2025-01-04T04:33:16.757832646Z[Etc/UTC]","0.0","46.76"
"User Management in Admin Tab","search an registered user","SUCCESS","2025-01-04T04:34:03.601641337Z[Etc/UTC]","0.0","31.93"
"Job Titles","Add a new job title and verify through record","SUCCESS","2025-01-04T04:34:35.626901005Z[Etc/UTC]","0.0","22.92"
"Job Titles","Update an added job title from the job titles page","SUCCESS","2025-01-04T04:34:58.63567576Z[Etc/UTC]","0.0","36.98"
"Recruitment Vacancies","Add a new vacancy","SUCCESS","2025-01-04T04:35:35.711111547Z[Etc/UTC]","0.0","30.08"
"Recruitment Vacancies","Delete an added vacancy","SUCCESS","2025-01-04T04:36:05.878676022Z[Etc/UTC]","0.0","16.74"
"Recruitment management in candidate module","Add a new candidate and verify through notification","SUCCESS","2025-01-04T04:36:22.716355002Z[Etc/UTC]","0.0","11.61"
"Recruitment management in candidate module","search an added candidate from the recruitment page saved without consent","SUCCESS","2025-01-04T04:36:34.419625995Z[Etc/UTC]","0.0","13.22"
