"Story","Title","Result","Date","Stability","Duration (s)"
"Add Employee","Add a new employee without username and password","SUCCESS","2025-01-07T04:55:09.050518083Z[Etc/UTC]","0.0","40.37"
"Add Employee","Delete an added employee from the PIM page","SUCCESS","2025-01-07T04:55:49.57867971Z[Etc/UTC]","0.0","21.44"
"User Management in Admin Tab","Add a new user","SUCCESS","2025-01-07T04:56:11.133610267Z[Etc/UTC]","0.0","30.37"
"User Management in Admin Tab","Delete a user","SUCCESS","2025-01-07T04:56:41.589267452Z[Etc/UTC]","0.0","45.55"
"User Management in Admin Tab","search an registered user","SUCCESS","2025-01-07T04:57:27.228312462Z[Etc/UTC]","0.0","30.97"
"Job Titles","Add a new job title and verify through record","SUCCESS","2025-01-07T04:57:58.296507321Z[Etc/UTC]","0.0","21.85"
"Job Titles","Update an added job title from the job titles page","SUCCESS","2025-01-07T04:58:20.23361285Z[Etc/UTC]","0.0","36.72"
"Recruitment Vacancies","Add a new vacancy","SUCCESS","2025-01-07T04:58:57.042634414Z[Etc/UTC]","0.0","28.77"
"Recruitment Vacancies","Delete an added vacancy","SUCCESS","2025-01-07T04:59:25.901602645Z[Etc/UTC]","0.0","15.32"
"Recruitment management in candidate module","Add a new candidate and verify through notification","SUCCESS","2025-01-07T04:59:41.312147765Z[Etc/UTC]","0.0","10.42"
"Recruitment management in candidate module","search an added candidate from the recruitment page saved without consent","SUCCESS","2025-01-07T04:59:51.819010205Z[Etc/UTC]","0.0","12.1"
