"Story","Title","Result","Date","Stability","Duration (s)"
"Get Book by ID","Retrieve a book with a valid ID as an admin/user","FAILURE","2025-01-04T04:31:43.300180256Z[Etc/UTC]","0.0","4.37"
"Get Book by ID","Retrieve a non-existent book by ID","FAILURE","2025-01-04T04:31:47.684418679Z[Etc/UTC]","0.0","0.26"
"Get Book by ID","Retrieve a book with a valid ID as a non-logged-in user","FAILURE","2025-01-04T04:31:47.953981089Z[Etc/UTC]","0.0","0.29"
"Delete Book by ID","Delete an existing book with a valid ID as an admin","FAILURE","2025-01-04T04:31:48.25599356Z[Etc/UTC]","0.0","0.36"
"Delete Book by ID","Delete an existing book with a valid ID as a normal user","FAILURE","2025-01-04T04:31:48.631328064Z[Etc/UTC]","0.0","0.35"
"Delete Book by ID","Delete a non-existent book by ID","FAILURE","2025-01-04T04:31:48.994692619Z[Etc/UTC]","0.0","0.13"
"Get All Book List","Unauthorized access to book list as a non-logged-in user","FAILURE","2025-01-04T04:31:49.684858481Z[Etc/UTC]","0.0","0.24"
"Create Book API Tests","Attempt to create a book with empty title and author as a normal user","FAILURE","2025-01-04T04:31:50.215932199Z[Etc/UTC]","0.0","0.11"
"Create Book API Tests","Attempt to create a book with an ID that already exists","FAILURE","2025-01-04T04:31:50.331564262Z[Etc/UTC]","0.0","0.42"
"Create Book API Tests","Attempt to create a book with missing values in title with author","FAILURE","2025-01-04T04:31:50.757582891Z[Etc/UTC]","0.0","0.1"
