"Story","Title","Result","Date","Stability","Duration (s)"
"Get Book by ID","Retrieve a book with a valid ID as an admin/user","FAILURE","2025-01-07T04:55:00.121669329Z[Etc/UTC]","0.0","4.23"
"Get Book by ID","Retrieve a non-existent book by ID","FAILURE","2025-01-07T04:55:04.387497125Z[Etc/UTC]","0.0","0.29"
"Get Book by ID","Retrieve a book with a valid ID as a non-logged-in user","FAILURE","2025-01-07T04:55:04.685424109Z[Etc/UTC]","0.0","0.3"
"Delete Book by ID","Delete an existing book with a valid ID as an admin","FAILURE","2025-01-07T04:55:04.99663632Z[Etc/UTC]","0.0","0.33"
"Delete Book by ID","Delete an existing book with a valid ID as a normal user","FAILURE","2025-01-07T04:55:05.333409323Z[Etc/UTC]","0.0","0.34"
"Delete Book by ID","Delete a non-existent book by ID","FAILURE","2025-01-07T04:55:05.68229829Z[Etc/UTC]","0.0","0.11"
"Get All Book List","Retrieve all books as a logged-in user","SUCCESS","2025-01-07T04:55:05.797900429Z[Etc/UTC]","0.0","0.25"
"Get All Book List","Retrieve books with an empty database","SUCCESS","2025-01-07T04:55:06.058156037Z[Etc/UTC]","0.0","0.23"
"Get All Book List","Unauthorized access to book list as a non-logged-in user","FAILURE","2025-01-07T04:55:06.292246482Z[Etc/UTC]","0.0","0.23"
"Create Book API Tests","Successfully create a new book","SUCCESS","2025-01-07T04:55:06.533535402Z[Etc/UTC]","0.0","0.24"
"Create Book API Tests","Attempt to create a book with empty title and author as a normal user","FAILURE","2025-01-07T04:55:06.780188543Z[Etc/UTC]","0.0","0.12"
"Create Book API Tests","Attempt to create a book with an ID that already exists","FAILURE","2025-01-07T04:55:06.905480848Z[Etc/UTC]","0.0","0.39"
"Create Book API Tests","Attempt to create a book with missing values in title with author","FAILURE","2025-01-07T04:55:07.29876448Z[Etc/UTC]","0.0","0.11"
"Create Book API Tests","Invalid ID format","SUCCESS","2025-01-07T04:55:07.412427149Z[Etc/UTC]","0.0","0.19"
"Create Book API Tests","Book Already Exists by name","SUCCESS","2025-01-07T04:55:07.606934653Z[Etc/UTC]","0.0","0.39"
"Update Book by ID","Update a book with a valid ID as an admin","SUCCESS","2025-01-07T04:55:08.006892535Z[Etc/UTC]","0.0","0.31"
"Update Book by ID","Update a book with a valid ID as a regular user","SUCCESS","2025-01-07T04:55:08.326422945Z[Etc/UTC]","0.0","0.29"
"Update Book by ID","Update a non-existent book by ID","SUCCESS","2025-01-07T04:55:08.621356657Z[Etc/UTC]","0.0","0.1"
"Update Book by ID","Update a book with missing mandatory fields as an admin","SUCCESS","2025-01-07T04:55:08.727520712Z[Etc/UTC]","0.0","0.28"
"Add Employee","Add a new employee without username and password","SUCCESS","2025-01-07T04:55:09.050518083Z[Etc/UTC]","0.0","40.37"
"Add Employee","Delete an added employee from the PIM page","SUCCESS","2025-01-07T04:55:49.57867971Z[Etc/UTC]","0.0","21.44"
"User Management in Admin Tab","Add a new user","SUCCESS","2025-01-07T04:56:11.133610267Z[Etc/UTC]","0.0","30.37"
"User Management in Admin Tab","Delete a user","SUCCESS","2025-01-07T04:56:41.589267452Z[Etc/UTC]","0.0","45.55"
"User Management in Admin Tab","search an registered user","SUCCESS","2025-01-07T04:57:27.228312462Z[Etc/UTC]","0.0","30.97"
"Job Titles","Add a new job title and verify through record","SUCCESS","2025-01-07T04:57:58.296507321Z[Etc/UTC]","0.0","21.85"
"Job Titles","Update an added job title from the job titles page","SUCCESS","2025-01-07T04:58:20.23361285Z[Etc/UTC]","0.0","36.72"
"Recruitment Vacancies","Add a new vacancy","SUCCESS","2025-01-07T04:58:57.042634414Z[Etc/UTC]","0.0","28.77"
"Recruitment Vacancies","Delete an added vacancy","SUCCESS","2025-01-07T04:59:25.901602645Z[Etc/UTC]","0.0","15.32"
"Recruitment management in candidate module","Add a new candidate and verify through notification","SUCCESS","2025-01-07T04:59:41.312147765Z[Etc/UTC]","0.0","10.42"
"Recruitment management in candidate module","search an added candidate from the recruitment page saved without consent","SUCCESS","2025-01-07T04:59:51.819010205Z[Etc/UTC]","0.0","12.1"
